user_id;follower_count;following_count;like_count;retweet_count;Num_Syllables;id;Avg_Syllables;Avg_Words_in_Sentences;Flesh-Kincaid;Num_Big_words;Num_Long_Sentences;Num_Sentences;Num_Short_Sentences;Num_Urls;Num_words;Rate_Adv_adj;class
487118986;12616791;61;23;10;47;79;2.0434782609;7.6666666667;11.5130434783;5;0;3;2;1;23;0.0434782609;real
487118986;12616791;61;164;69;37;80;1.85;19;14.04;9;0;1;0;1;20;0.15;real
487118986;12616791;61;34;16;46;81;2.1904761905;7;12.9876190476;7;0;3;2;1;21;0.0476190476;real
487118986;12616791;61;48;11;38;82;2.5333333333;4.6666666667;16.2533333333;7;0;3;3;2;15;0.2;real
487118986;12616791;61;30;7;39;83;1.8571428571;20;14.5142857143;7;0;1;0;1;21;0.1428571429;real
487118986;12616791;61;27;8;30;84;2.3076923077;4;13.3307692308;5;0;3;3;2;13;0.0769230769;real
487118986;12616791;61;33;11;45;85;2.6470588235;5.6666666667;17.8552941176;6;0;3;2;1;17;0.0588235294;real
487118986;12616791;61;42;18;36;86;2.5714285714;4.3333333333;16.5728571429;6;0;3;3;2;14;0.2142857143;real
487118986;12616791;61;35;8;28;87;2.3333333333;3.6666666667;13.5033333333;4;0;3;3;2;12;0.0833333333;real
487118986;12616791;61;22;7;40;88;1.9047619048;20;15.0761904762;8;0;1;0;1;21;0.2380952381;real
487118986;12616791;61;23;8;27;89;2.25;10;15.64;4;0;1;0;2;12;0;real
487118986;12616791;61;21;5;42;90;2;10;12105;6;0;2;1;1;21;0.0476190476;real
487118986;12616791;61;44;14;41;91;2.9285714286;13;24.4271428571;10;0;1;0;1;14;0.2142857143;real
487118986;12616791;61;25;13;45;92;2.5;6;16.25;8;0;3;2;1;18;0.1666666667;real
487118986;12616791;61;46;16;57;93;3;5;21.6625;9;0;4;4;1;19;0;real
487118986;12616791;61;32;7;39;94;2.0526315789;18;16.0410526316;8;0;1;0;1;19;0.1052631579;real
487118986;12616791;61;21;3;46;95;2.4210526316;18;20.3884210526;8;0;1;0;1;19;0.1578947368;real
487118986;12616791;61;68;27;41;96;1.9523809524;20;15.6380952381;6;0;1;0;1;21;0.1428571429;real
487118986;12616791;61;44;16;50;97;2.2727272727;7.3333333333;14.0881818182;7;0;3;2;1;22;0.0454545455;real
487118986;12616791;61;29;13;33;98;2.5384615385;4;16.0538461538;8;0;3;3;2;13;0;real
487118986;12616791;61;18;5;41;99;2.2777777778;17;18.3077777778;9;0;1;0;1;18;0;real
487118986;12616791;61;14;5;39;100;1.95;9.5;11.32;6;0;2;1;1;20;0.15;real
487118986;12616791;61;67;32;45;101;2.25;4.2;12.52;8;0;5;4;1;20;0;real
487118986;12616791;61;26;7;37;102;2.1764705882;16;16.7223529412;9;0;1;0;1;17;0.0588235294;real
487118986;12616791;61;33;9;41;103;2.05;19;16.4;7;0;1;0;1;20;0.05;real
487118986;12616791;61;41;7;36;104;1.5;23;11.47;4;0;1;0;1;24;125;real
487118986;12616791;61;76;30;49;105;1.8148148148;13;11.0898148148;2;0;2;1;1;27;0.0740740741;real
487118986;12616791;61;57;15;36;106;1.8;9.5;9.55;9;0;2;1;1;20;0.15;real
487118986;12616791;61;45;10;47;107;2.6111111111;17;22.2411111111;9;0;1;0;1;18;0.1111111111;real
487118986;12616791;61;58;24;34;108;1.7894736842;9;9.2307894737;9;0;2;1;1;19;0.0526315789;real
487118986;12616791;61;145;68;46;109;1.7692307692;12.5;10.3569230769;4;0;2;0;1;26;0.0769230769;real
